n/a,Attrition,Age,DistanceFromHome,HourlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,College,Below College,Master,Bachelor,JSMedium,JSHigh,JSLow,Perf_Excellent,Work_Life_Bad,Work_Life_Better,Work_Life_Good,RS_Low,RS_Medium,RS_High,JI_High,JI_Medium,JI_Low,ES_Medium,ES_High,ES_Low
738,FALSE,39,1,65,1,16,21,3,21,6,11,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
739,FALSE,27,2,47,0,18,4,2,3,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
740,FALSE,35,10,45,1,20,3,4,3,2,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
741,FALSE,42,5,90,6,13,21,3,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
742,FALSE,50,9,64,4,18,8,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
743,FALSE,59,2,69,3,13,30,4,5,3,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
744,TRUE,37,11,61,5,15,15,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
745,FALSE,55,18,62,3,14,17,3,8,7,6,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
746,FALSE,41,7,55,1,22,21,3,21,16,5,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
747,FALSE,38,3,42,8,12,19,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
748,TRUE,26,29,79,8,18,7,6,2,2,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
749,TRUE,52,2,57,1,15,33,3,32,14,6,9,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
750,FALSE,44,28,53,3,18,23,2,12,11,11,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
751,FALSE,50,1,95,0,12,19,3,18,7,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
752,TRUE,36,16,43,1,16,18,1,17,13,15,14,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
753,FALSE,39,22,82,1,13,21,2,21,6,2,8,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
754,FALSE,33,8,88,0,19,3,2,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
755,FALSE,45,11,90,3,13,26,4,9,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
756,FALSE,32,29,69,9,12,10,2,8,7,7,7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
757,FALSE,34,1,75,0,11,16,2,15,1,0,9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
758,FALSE,59,1,66,3,14,14,1,6,4,0,4,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
759,FALSE,45,24,36,1,16,6,3,6,3,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
760,FALSE,53,2,38,2,12,30,2,15,7,6,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
761,TRUE,36,15,81,7,14,9,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
762,TRUE,26,2,57,6,14,6,2,3,2,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
763,FALSE,34,10,87,1,19,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
764,FALSE,28,10,74,1,22,1,5,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
765,FALSE,38,3,44,3,16,8,2,2,2,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
766,FALSE,50,2,62,2,11,29,2,8,1,7,7,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
767,FALSE,37,3,35,3,15,8,3,4,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
768,FALSE,40,26,74,1,14,8,3,7,7,7,5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
769,FALSE,26,1,66,1,13,5,5,5,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
770,FALSE,46,1,40,9,17,23,0,2,2,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
771,FALSE,54,2,41,6,11,13,4,9,4,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
772,FALSE,56,9,63,2,19,18,4,5,4,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
773,FALSE,36,12,51,0,11,15,2,14,8,7,8,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
774,FALSE,55,2,40,7,15,31,3,9,7,6,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
775,FALSE,43,25,79,5,13,18,5,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
776,TRUE,20,9,54,1,14,2,3,2,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
777,TRUE,21,10,36,1,13,1,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
778,FALSE,46,8,74,8,23,19,2,16,13,1,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
779,TRUE,51,4,34,9,12,18,2,10,0,2,7,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
780,TRUE,28,24,72,1,12,10,2,10,7,1,9,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
781,FALSE,26,1,59,1,16,6,2,5,3,1,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
782,FALSE,30,20,85,0,15,7,1,6,2,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
783,FALSE,41,7,43,1,13,10,3,10,6,0,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
784,FALSE,38,17,65,0,18,20,4,19,9,1,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
785,FALSE,40,20,61,4,20,14,6,11,10,11,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
786,FALSE,27,8,87,1,19,3,4,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
787,FALSE,55,2,65,3,18,23,4,3,2,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
788,FALSE,28,10,59,3,13,10,4,8,7,1,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
789,TRUE,44,1,91,9,14,24,1,20,6,3,6,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
790,FALSE,33,5,34,4,15,9,2,3,2,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
791,TRUE,35,4,86,0,22,9,2,8,7,4,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
792,TRUE,33,29,54,1,22,14,4,13,7,3,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
793,FALSE,28,15,50,1,16,4,5,4,2,2,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
794,FALSE,34,3,45,0,17,7,1,6,2,0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
795,FALSE,37,10,88,2,14,8,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
796,TRUE,25,4,32,1,15,7,3,7,7,5,6,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
797,TRUE,26,21,37,1,20,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
798,TRUE,33,25,55,4,20,5,0,2,2,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
799,FALSE,42,2,35,0,17,23,3,22,6,13,7,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
800,TRUE,28,1,45,1,15,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
801,TRUE,50,1,81,3,14,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
802,FALSE,33,7,30,0,17,4,3,3,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
803,FALSE,34,3,40,3,17,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
804,FALSE,48,1,35,2,22,27,3,5,4,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
805,FALSE,45,9,65,1,13,15,2,15,10,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
806,FALSE,52,7,87,7,19,18,4,8,6,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
807,FALSE,38,10,73,0,14,9,2,8,7,2,7,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
808,FALSE,29,28,93,4,22,11,1,7,5,1,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
809,FALSE,28,3,93,0,17,10,3,9,7,1,7,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
810,FALSE,46,3,52,3,12,23,3,12,9,4,9,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
811,FALSE,38,2,32,7,16,10,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
812,FALSE,43,27,83,8,11,18,1,8,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
813,TRUE,39,2,84,7,11,21,4,18,7,11,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
814,FALSE,40,14,44,1,14,21,2,20,7,4,9,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
815,FALSE,21,1,70,1,11,2,6,2,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
816,FALSE,39,9,70,9,15,9,2,5,4,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
